Player,Position,Age,Market Value,Nationality,Joined Club,Joined League,Transfer Fee
James Ward-Prowse,Central Midfield,29,EUR30.00m,England,Nottm Forest,Premier League,loan transfer
Ermedin Demirovic,Centre-Forward,26,EUR28.00m,Bosnia-Herzegovina,VfB Stuttgart,Bundesliga,EUR21.00m
Thiago Almada,Attacking Midfield,23,EUR27.00m,Argentina,Botafogo,Serie A,EUR19.50m
Marcos Leonardo,Centre-Forward,21,EUR25.00m,Brazil,Al-Hilal,Saudi Pro League,EUR40.00m
Igor Thiago,Centre-Forward,23,EUR25.00m,Brazil,Brentford,Premier League,EUR33.00m
Alexander Sorloth,Centre-Forward,28,EUR25.00m,Norway,Atletico Madrid,LaLiga,EUR32.00m
David Neres,Right Winger,27,EUR25.00m,Brazil,SSC Napoli,Serie A,EUR28.00m
Deniz Undav,Centre-Forward,28,EUR25.00m,Germany,VfB Stuttgart,Bundesliga,EUR26.70m
Mason Greenwood,Right Winger,22,EUR25.00m,England,Marseille,Ligue 1,EUR26.00m
Matias Soule,Right Winger,21,EUR25.00m,Argentina,AS Roma,Serie A,EUR25.60m
Joao Cancelo,Right-Back,30,EUR25.00m,Portugal,Al-Hilal,Saudi Pro League,EUR25.00m
Andre,Defensive Midfield,23,EUR25.00m,Brazil,Wolves,Premier League,EUR22.00m
Aaron Ramsdale,Goalkeeper,26,EUR25.00m,England,Southampton,Premier League,EUR21.40m
Strahinja Pavlovic,Centre-Back,23,EUR25.00m,Serbia,AC Milan,Serie A,EUR18.00m
Aleix Garcia,Central Midfield,27,EUR25.00m,Spain,B. Leverkusen,Bundesliga,EUR18.00m
Vangelis Pavlidis,Centre-Forward,25,EUR25.00m,Greece,Benfica,Liga Portugal,EUR18.00m
Matteo Guendouzi,Central Midfield,25,EUR25.00m,France,Lazio,Serie A,EUR13.00m
Yan Couto,Right-Back,22,EUR25.00m,Brazil,Bor. Dortmund,Bundesliga,Loan fee:EUR4.00m
Jorgen Strand Larsen,Centre-Forward,24,EUR25.00m,Norway,Wolves,Premier League,Loan fee:EUR3.00m
Arthur Vermeeren,Central Midfield,19,EUR25.00m,Belgium,RB Leipzig,Bundesliga,Loan fee:EUR3.00m
Lesley Ugochukwu,Defensive Midfield,20,EUR25.00m,France,Southampton,Premier League,loan transfer
Kalvin Phillips,Defensive Midfield,28,EUR25.00m,England,Ipswich,Premier League,loan transfer
Kurt Zouma,Centre-Back,29,EUR25.00m,France,Al-Orobah,Saudi Pro League,loan transfer
Luis Guilherme,Right Winger,18,EUR24.00m,Brazil,West Ham,Premier League,EUR23.00m
Emile Smith Rowe,Attacking Midfield,24,EUR22.00m,England,Fulham,Premier League,EUR31.80m
Taylor Harwood-Bellis,Centre-Back,22,EUR22.00m,England,Southampton,Premier League,EUR23.00m
Carlos Augusto,Left-Back,25,EUR22.00m,Brazil,Inter,Serie A,EUR13.00m
Francisco Conceicao,Right Winger,21,EUR22.00m,Portugal,FC Porto,Liga Portugal,EUR10.50m
Francisco Conceicao,Right Winger,21,EUR22.00m,Portugal,Juventus,Serie A,Loan fee:EUR7.00m
Jesper Lindstrom,Attacking Midfield,24,EUR22.00m,Denmark,Everton,Premier League,Loan fee:EUR2.00m
Sofyan Amrabat,Defensive Midfield,28,EUR22.00m,Morocco,Fenerbahce,Super Lig,Loan fee:EUR2.00m
Fabio Vieira,Attacking Midfield,24,EUR22.00m,Portugal,FC Porto,Liga Portugal,Loan fee:EUR890k
Armando Broja,Centre-Forward,22,EUR22.00m,Albania,Everton,Premier League,loan transfer
Piotr Zielinski,Central Midfield,30,EUR22.00m,Poland,Inter,Serie A,free transfer
Sergino Dest,Right-Back,23,EUR22.00m,United States,PSV Eindhoven,Eredivisie,free transfer
Youssoufa Moukoko,Centre-Forward,19,EUR22.00m,Germany,OGC Nice,Ligue 1,loan transfer
Matt O'Riley,Central Midfield,23,EUR20.00m,Denmark,Brighton,Premier League,EUR29.50m
Crysencio Summerville,Left Winger,22,EUR20.00m,Netherlands,West Ham,Premier League,EUR29.30m
Sander Berge,Central Midfield,26,EUR20.00m,Norway,Fulham,Premier League,EUR23.55m
