Player,Position,Age,Market Value,Nationality,Joined Club,Joined League,Transfer Fee
Alexis Saelemaekers,Right Winger,25,EUR12.00m,Belgium,AS Roma,Serie A,loan transfer
Eric Dier,Centre-Back,30,EUR12.00m,England,Bayern Munich,Bundesliga,free transfer
Ibrahim Osman,Left Winger,19,EUR12.00m,Ghana,Feyenoord,Eredivisie,loan transfer
Lilian Brassier,Centre-Back,24,EUR12.00m,France,Marseille,Ligue 1,loan transfer
Zeki Amdouni,Centre-Forward,23,EUR12.00m,Switzerland,Benfica,Liga Portugal,loan transfer
Kelechi Iheanacho,Centre-Forward,27,EUR12.00m,Nigeria,Sevilla FC,LaLiga,free transfer
David Carmo,Centre-Back,25,EUR12.00m,Angola,Olympiacos,Super League 1,loan transfer
Tiago Djalo,Centre-Back,24,EUR12.00m,Portugal,FC Porto,Liga Portugal,loan transfer
Kepa Arrizabalaga,Goalkeeper,29,EUR12.00m,Spain,Bournemouth,Premier League,loan transfer
David Datro Fofana,Centre-Forward,21,EUR12.00m,Cote d'Ivoire,Goztepe,Super Lig,loan transfer
Ismael Kone,Central Midfield,22,EUR11.00m,Canada,Marseille,Ligue 1,EUR12.00m
Luis Alberto,Attacking Midfield,31,EUR11.00m,Spain,Al-Duhail SC,Stars League,EUR10.50m
Maarten Vandevoordt,Goalkeeper,22,EUR11.00m,Belgium,RB Leipzig,Bundesliga,EUR10.00m
Maksim Glushenkov,Second Striker,24,EUR11.00m,Russia,Zenit S-Pb,Premier Liga,EUR6.30m
Wilfried Zaha,Left Winger,31,EUR11.00m,Cote d'Ivoire,Olympique Lyon,Ligue 1,Loan fee:EUR3.00m
Fedor Chalov,Centre-Forward,26,EUR11.00m,Russia,PAOK Salonika,Super League 1,EUR3.00m
Stefan Bajcetic,Defensive Midfield,19,EUR11.00m,Spain,RB Salzburg,Bundesliga,loan transfer
Fabio Silva,Centre-Forward,22,EUR11.00m,Portugal,UD Las Palmas,LaLiga,loan transfer
Habib Diallo,Centre-Forward,29,EUR11.00m,Senegal,Damac FC,Saudi Pro League,loan transfer
Wilson Odobert,Left Winger,19,EUR10.00m,France,Tottenham,Premier League,EUR29.30m
Wesley,Left Winger,19,EUR10.00m,Brazil,Al-Nassr,Saudi Pro League,EUR18.00m
Issahaku Fatawu,Right Winger,20,EUR10.00m,Ghana,Leicester,Premier League,EUR17.00m
Dean Huijsen,Centre-Back,19,EUR10.00m,Spain,Bournemouth,Premier League,EUR15.20m
Jeanuel Belocian,Centre-Back,19,EUR10.00m,France,B. Leverkusen,Bundesliga,EUR15.00m
Lamine Camara,Central Midfield,20,EUR10.00m,Senegal,Monaco,Ligue 1,EUR15.00m
Julian Quinones,Centre-Forward,27,EUR10.00m,Mexico,Al-Qadsiah,Saudi Pro League,EUR13.80m
Ben Godfrey,Centre-Back,26,EUR10.00m,England,Atalanta BC,Serie A,EUR12.00m
Luciano Gondou,Centre-Forward,23,EUR10.00m,Argentina,Zenit S-Pb,Premier Liga,EUR12.00m
Gustavo Nunes,Left Winger,18,EUR10.00m,Brazil,Brentford,Premier League,EUR12.00m
Houssem Aouar,Central Midfield,26,EUR10.00m,Algeria,Al-Ittihad,Saudi Pro League,EUR12.00m
Aleksey Miranchuk,Attacking Midfield,28,EUR10.00m,Russia,Atlanta,MLS,EUR12.00m
Sam Johnstone,Goalkeeper,31,EUR10.00m,England,Wolves,Premier League,EUR11.90m
Thilo Kehrer,Centre-Back,27,EUR10.00m,Germany,Monaco,Ligue 1,EUR11.00m
Mikayil Faye,Centre-Back,20,EUR10.00m,Senegal,Stade Rennais,Ligue 1,EUR10.30m
George Ilenikhena,Centre-Forward,17,EUR10.00m,France,Monaco,Ligue 1,EUR18.75m
Lucas Bergvall,Attacking Midfield,18,EUR10.00m,Sweden,Tottenham,Premier League,EUR10.00m
Assan Ouedraogo,Central Midfield,18,EUR10.00m,Germany,RB Leipzig,Bundesliga,EUR10.00m
Benjamin Rollheiser,Right Winger,24,EUR10.00m,Argentina,Benfica,Liga Portugal,EUR9.50m
Sergio Gomez,Right Winger,23,EUR10.00m,Spain,Real Sociedad,LaLiga,EUR9.00m
Erick Sanchez,Central Midfield,24,EUR10.00m,Mexico,America,Liga MX Apertura,EUR9.00m
Tijjani Noslin,Right Winger,24,EUR10.00m,Netherlands,Lazio,Serie A,EUR8.90m
David Garcia,Centre-Back,30,EUR10.00m,Spain,Al-Rayyan SC,Stars League,EUR8.75m
Caglar Soyuncu,Centre-Back,28,EUR10.00m,Türkiye,Fenerbahce,Super Lig,EUR8.50m
Predrag Rajkovic,Goalkeeper,28,EUR10.00m,Serbia,Al-Ittihad,Saudi Pro League,EUR8.00m
Ladislav Krejci,Centre-Back,25,EUR10.00m,Czech Republic,Girona,LaLiga,EUR8.00m
Tete,Right Winger,24,EUR10.00m,Brazil,Panathinaikos,Super League 1,EUR7.25m
Christos Tzolis,Left Winger,22,EUR10.00m,Greece,Club Brugge,Jupiler Pro League,EUR6.50m
Facundo Pellistri,Right Winger,22,EUR10.00m,Uruguay,Panathinaikos,Super League 1,EUR6.00m
Nico Paz,Attacking Midfield,19,EUR10.00m,Argentina,Como,Serie A,EUR6.00m
Tommy Doyle,Central Midfield,22,EUR10.00m,England,Wolves,Premier League,EUR5.00m
Nabil Fekir,Attacking Midfield,31,EUR10.00m,France,Al-Jazira,UAE Pro League,EUR5.00m
Christos Tzolis,Left Winger,22,EUR10.00m,Greece,F. Dusseldorf,2. Bundesliga,EUR3.50m
Guillermo Maripan,Centre-Back,30,EUR10.00m,Chile,Torino,Serie A,EUR2.00m
Jens Cajuste,Defensive Midfield,25,EUR10.00m,Sweden,Ipswich,Premier League,Loan fee:EUR1.50m
Silas,Right Winger,25,EUR10.00m,DR Congo,Red Star,Super liga Srbije,Loan fee:EUR500k
Clement Lenglet,Centre-Back,29,EUR10.00m,France,Atletico Madrid,LaLiga,loan transfer
Nordi Mukiele,Right-Back,26,EUR10.00m,France,B. Leverkusen,Bundesliga,loan transfer
Rasmus Kristensen,Right-Back,27,EUR10.00m,Denmark,E. Frankfurt,Bundesliga,loan transfer
Mehdi Taremi,Centre-Forward,31,EUR10.00m,Iran,Inter,Serie A,free transfer
Salih Ozcan,Defensive Midfield,26,EUR10.00m,Türkiye,VfL Wolfsburg,Bundesliga,loan transfer
Issa Kabore,Right-Back,23,EUR10.00m,Burkina Faso,Benfica,Liga Portugal,loan transfer
Boulaye Dia,Centre-Forward,27,EUR10.00m,Senegal,Lazio,Serie A,loan transfer
Ben Doak,Right Winger,18,EUR10.00m,Scotland,Middlesbrough,Championship,loan transfer
Ryan Sessegnon,Left-Back,24,EUR10.00m,England,Fulham,Premier League,free transfer
Tommaso Pobega,Central Midfield,25,EUR10.00m,Italy,Bologna,Serie A,loan transfer
Shea Charles,Defensive Midfield,20,EUR10.00m,Northern Ireland,Sheff Wed,Championship,loan transfer
Sebastien Haller,Centre-Forward,30,EUR10.00m,Cote d'Ivoire,CD Leganes,LaLiga,loan transfer
Pau Lopez,Goalkeeper,29,EUR10.00m,Spain,Girona,LaLiga,loan transfer
Yaser Asprilla,Right Winger,20,EUR9.00m,Colombia,Girona,LaLiga,EUR18.00m
Christian Mawissa,Centre-Back,19,EUR9.00m,France,Monaco,Ligue 1,EUR16.00m
Esequiel Barco,Attacking Midfield,25,EUR9.00m,Argentina,Spartak Moscow,Premier Liga,EUR14.00m
Arne Engels,Central Midfield,20,EUR9.00m,Belgium,Celtic,Premiership,EUR11.00m
Flynn Downes,Defensive Midfield,25,EUR9.00m,England,Southampton,Premier League,EUR17.85m
Anass Zaroury,Left Winger,23,EUR9.00m,Morocco,Lens,Ligue 1,EUR9.00m
Jota,Left Winger,25,EUR9.00m,Portugal,Stade Rennais,Ligue 1,EUR8.00m
Lucas Ocampos,Left Winger,30,EUR9.00m,Argentina,Monterrey,Liga MX Apertura,EUR7.25m
Hannibal,Attacking Midfield,21,EUR9.00m,Tunisia,Burnley,Championship,EUR6.40m
Jamie Leweling,Right Winger,23,EUR9.00m,Germany,VfB Stuttgart,Bundesliga,EUR5.00m
Marc Roca,Defensive Midfield,27,EUR9.00m,Spain,Real Betis,LaLiga,EUR4.50m
Hyun-seok Hong,Attacking Midfield,25,EUR9.00m,"Korea, South",1.FSV Mainz 05,Bundesliga,EUR4.00m
Jeff Chabot,Centre-Back,26,EUR9.00m,Germany,VfB Stuttgart,Bundesliga,EUR4.00m
Robert Renan,Centre-Back,20,EUR9.00m,Brazil,Al-Shabab,Saudi Pro League,Loan fee:EUR3.00m
Veljko Birmancevic,Left Winger,26,EUR9.00m,Serbia,Sparta Prague,Chance Liga,EUR2.30m
Charlie Patino,Central Midfield,20,EUR9.00m,England,Dep. La Coruna,LaLiga2,EUR1.20m
Samuel Gigot,Centre-Back,30,EUR9.00m,France,Lazio,Serie A,Loan fee:EUR500k
Hakim Ziyech,Right Winger,31,EUR9.00m,Morocco,Galatasaray,Super Lig,free transfer
Frank Onyeka,Central Midfield,26,EUR9.00m,Nigeria,FC Augsburg,Bundesliga,loan transfer
Maxwel Cornet,Left Winger,27,EUR9.00m,Cote d'Ivoire,Southampton,Premier League,loan transfer
Jonathan Rowe,Left Winger,21,EUR9.00m,England,Marseille,Ligue 1,loan transfer
Scott McKenna,Centre-Back,27,EUR9.00m,Scotland,UD Las Palmas,LaLiga,free transfer
Bertrand Traore,Right Winger,28,EUR9.00m,Burkina Faso,Ajax,Eredivisie,free transfer
Alejo Veliz,Centre-Forward,20,EUR9.00m,Argentina,Espanyol,LaLiga,loan transfer
Juan Miranda,Left-Back,24,EUR9.00m,Spain,Bologna,Serie A,free transfer
Maximo Perrone,Defensive Midfield,21,EUR9.00m,Argentina,Como,Serie A,loan transfer
Matheus Henrique,Central Midfield,26,EUR8.50m,Brazil,Cruzeiro,Serie A,EUR8.50m
Osame Sahraoui,Left Winger,23,EUR8.50m,Morocco,LOSC Lille,Ligue 1,EUR8.00m
In-beom Hwang,Central Midfield,27,EUR8.50m,"Korea, South",Feyenoord,Eredivisie,EUR7.00m
Todd Cantwell,Attacking Midfield,26,EUR8.50m,England,Blackburn,Championship,EUR590k
Michy Batshuayi,Centre-Forward,30,EUR8.50m,Belgium,Galatasaray,Super Lig,free transfer
Nicolas Pepe,Right Winger,29,EUR8.50m,Cote d'Ivoire,Villarreal,LaLiga,free transfer
Mahmoud Trezeguet,Left Winger,29,EUR8.50m,Egypt,Al-Rayyan SC,Stars League,loan transfer
Liam Delap,Centre-Forward,21,EUR8.00m,England,Ipswich,Premier League,EUR17.85m
Mateus Fernandes,Central Midfield,20,EUR8.00m,Portugal,Southampton,Premier League,EUR15.00m
Caleb Okoli,Centre-Back,22,EUR8.00m,Italy,Leicester,Premier League,EUR14.00m
Josep Martinez,Goalkeeper,26,EUR8.00m,Spain,Inter,Serie A,EUR13.50m
Joe Rodon,Centre-Back,26,EUR8.00m,Wales,Leeds,Championship,EUR11.80m
Konstantinos Koulierakis,Centre-Back,20,EUR8.00m,Greece,VfL Wolfsburg,Bundesliga,EUR11.75m
Sebastian Nanasi,Left Midfield,22,EUR8.00m,Sweden,R. Strasbourg,Ligue 1,EUR11.00m
Luciano Rodriguez,Centre-Forward,21,EUR8.00m,Uruguay,EC Bahia,Serie A,EUR11.00m
Rafa Mujica,Centre-Forward,25,EUR8.00m,Spain,Al-Sadd SC,Stars League,EUR10.00m
Julian Araujo,Right-Back,23,EUR8.00m,Mexico,Bournemouth,Premier League,EUR10.00m
Chiedozie Ogbene,Right Winger,27,EUR8.00m,Ireland,Ipswich,Premier League,EUR9.50m
Georgios Giakoumakis,Centre-Forward,29,EUR8.00m,Greece,CD Cruz Azul,Liga MX Apertura,EUR9.33m
Alexsander,Defensive Midfield,20,EUR8.00m,Brazil,Al-Ahli,Saudi Pro League,EUR9.00m
Ben Brereton Diaz,Centre-Forward,25,EUR8.00m,Chile,Southampton,Premier League,EUR8.30m
Loum Tchaouna,Right Winger,20,EUR8.00m,France,Lazio,Serie A,EUR10.00m
Duvan Zapata,Centre-Forward,33,EUR8.00m,Colombia,Torino,Serie A,EUR8.60m
Saul Coco,Centre-Back,25,EUR8.00m,Equatorial Guinea,Torino,Serie A,EUR7.50m
Pascal Gross,Central Midfield,33,EUR8.00m,Germany,Bor. Dortmund,Bundesliga,EUR7.00m
Leo Ostigard,Centre-Back,24,EUR8.00m,Norway,Stade Rennais,Ligue 1,EUR7.00m
Agustin Giay,Right Midfield,20,EUR8.00m,Argentina,Palmeiras,Serie A,EUR7.00m
Ross Barkley,Central Midfield,30,EUR8.00m,England,Aston Villa,Premier League,EUR5.90m
Angelino,Left-Back,27,EUR8.00m,Spain,AS Roma,Serie A,EUR5.20m
Tom Rothe,Left-Back,19,EUR8.00m,Germany,Union Berlin,Bundesliga,EUR5.00m
Danilo Pereira,Defensive Midfield,32,EUR8.00m,Portugal,Al-Ittihad,Saudi Pro League,EUR5.00m
Sardar Azmoun,Centre-Forward,29,EUR8.00m,Iran,Shabab Al-Ahli,UAE Pro League,EUR5.00m
Morgan Sanson,Central Midfield,29,EUR8.00m,France,OGC Nice,Ligue 1,EUR4.00m
Matheus Saldanha,Centre-Forward,25,EUR8.00m,Brazil,Ferencvaros,NB I.,EUR3.00m
Carlos Forbs,Left Winger,20,EUR8.00m,Portugal,Wolves,Premier League,Loan fee:EUR2.50m
Jordan Lotomba,Right-Back,25,EUR8.00m,Switzerland,Feyenoord,Eredivisie,EUR2.20m
Junior Alonso,Centre-Back,31,EUR8.00m,Paraguay,Atletico-MG,Serie A,EUR1.10m
Ismail Jakobs,Left-Back,25,EUR8.00m,Senegal,Galatasaray,Super Lig,Loan fee:EUR1.00m
Fabian Rieder,Attacking Midfield,22,EUR8.00m,Switzerland,VfB Stuttgart,Bundesliga,Loan fee:EUR800k
Warmed Omari,Centre-Back,24,EUR8.00m,Comoros,Olympique Lyon,Ligue 1,Loan fee:EUR500k
Samuel Edozie,Left Winger,21,EUR8.00m,England,RSC Anderlecht,Jupiler Pro League,loan transfer
Naouirou Ahamada,Central Midfield,22,EUR8.00m,France,Stade Rennais,Ligue 1,loan transfer
Salis Abdul Samed,Defensive Midfield,24,EUR8.00m,Ghana,Sunderland,Championship,loan transfer
Harry Souttar,Centre-Back,25,EUR8.00m,Australia,Sheff Utd,Championship,loan transfer
Tanguy Ndombele,Central Midfield,27,EUR8.00m,France,OGC Nice,Ligue 1,free transfer
Ben Johnson,Right-Back,24,EUR8.00m,England,Ipswich,Premier League,free transfer
Felipe Anderson,Left Winger,31,EUR8.00m,Brazil,Palmeiras,Serie A,free transfer
Manu Sanchez,Left-Back,23,EUR8.00m,Spain,Alaves,LaLiga,loan transfer
Paul Wanner,Attacking Midfield,18,EUR8.00m,Germany,Heidenheim,Bundesliga,loan transfer
Vitao,Centre-Back,24,EUR8.00m,Brazil,Internacional,Serie A,free transfer
Maxi Araujo,Left Winger,24,EUR7.50m,Uruguay,Sporting CP,Liga Portugal,EUR13.60m
Rafa Marin,Centre-Back,22,EUR7.50m,Spain,SSC Napoli,Serie A,EUR12.00m
Aleksandr Sobolev,Centre-Forward,27,EUR7.50m,Russia,Zenit S-Pb,Premier Liga,EUR10.00m
Enzo Barrenechea,Defensive Midfield,23,EUR7.50m,Argentina,Aston Villa,Premier League,EUR8.00m
Javi Lopez,Left-Back,22,EUR7.50m,Spain,Real Sociedad,LaLiga,EUR6.50m
Julien De Sart,Defensive Midfield,29,EUR7.50m,Belgium,Al-Rayyan SC,Stars League,EUR6.50m
Marc Guiu,Centre-Forward,18,EUR7.50m,Spain,Chelsea,Premier League,EUR6.00m
Joe Worrall,Centre-Back,27,EUR7.50m,England,Burnley,Championship,EUR5.90m
Moritz Jenz,Centre-Back,25,EUR7.50m,Germany,1.FSV Mainz 05,Bundesliga,Loan fee:EUR250k
Saul Niguez,Central Midfield,29,EUR7.50m,Spain,Sevilla FC,LaLiga,loan transfer
Borna Sosa,Left-Back,26,EUR7.50m,Croatia,Torino,Serie A,loan transfer
Philippe Coutinho,Attacking Midfield,32,EUR7.50m,Brazil,Vasco da Gama,Serie A,loan transfer
Enzo Barrenechea,Defensive Midfield,23,EUR7.50m,Argentina,Valencia,LaLiga,loan transfer
Ismael Gharbi,Attacking Midfield,20,EUR7.50m,Spain,SC Braga,Liga Portugal,free transfer
Abdallah Sima,Right Winger,23,EUR7.50m,Senegal,Stade Brestois,Ligue 1,loan transfer
Maxime Lopez,Defensive Midfield,26,EUR7.50m,France,Paris FC,Ligue 2,free transfer
Odysseas Vlachodimos,Goalkeeper,30,EUR7.00m,Greece,Newcastle,Premier League,EUR23.60m
Omari Hutchinson,Right Winger,20,EUR7.00m,England,Ipswich,Premier League,EUR23.50m
Marin Pongracic,Centre-Back,26,EUR7.00m,Croatia,Fiorentina,Serie A,EUR15.00m
Dara O'Shea,Centre-Back,25,EUR7.00m,Ireland,Ipswich,Premier League,EUR14.20m
Maxime Esteve,Centre-Back,22,EUR7.00m,France,Burnley,Championship,EUR12.00m
Sammie Szmodics,Attacking Midfield,28,EUR7.00m,Ireland,Ipswich,Premier League,EUR10.60m
Matheus Martins,Left Winger,21,EUR7.00m,Brazil,Botafogo,Serie A,EUR10.00m
Nicolo Cambiaghi,Second Striker,23,EUR7.00m,Italy,Bologna,Serie A,EUR10.00m
Arijanet Muric,Goalkeeper,25,EUR7.00m,Kosovo,Ipswich,Premier League,EUR9.55m
Ryan Flamingo,Centre-Back,21,EUR7.00m,Netherlands,PSV Eindhoven,Eredivisie,EUR9.00m
Valentin Gendrey,Right-Back,24,EUR7.00m,France,TSG Hoffenheim,Bundesliga,EUR8.50m
Abner,Left-Back,24,EUR7.00m,Brazil,Olympique Lyon,Ligue 1,EUR8.00m
Paulinho,Centre-Forward,31,EUR7.00m,Portugal,Toluca,Liga MX Apertura,EUR7.75m
Auston Trusty,Centre-Back,26,EUR7.00m,United States,Celtic,Premiership,EUR7.10m
Adamo Nagalo,Centre-Back,21,EUR7.00m,Burkina Faso,PSV Eindhoven,Eredivisie,EUR7.00m
Unai Nunez,Centre-Back,27,EUR7.00m,Spain,Celta de Vigo,LaLiga,EUR7.00m
Osman Bukari,Right Winger,25,EUR7.00m,Ghana,Austin,MLS,EUR7.00m
Alvaro Carreras,Left-Back,21,EUR7.00m,Spain,Benfica,Liga Portugal,EUR6.00m
Guela Doue,Right-Back,21,EUR7.00m,Cote d'Ivoire,R. Strasbourg,Ligue 1,EUR6.00m
Tanner Tessmann,Defensive Midfield,22,EUR7.00m,United States,Olympique Lyon,Ligue 1,EUR6.00m
Florinel Coman,Left Winger,26,EUR7.00m,Romania,Al-Gharafa SC,Stars League,EUR5.25m
Matheus Pereira,Attacking Midfield,28,EUR7.00m,Brazil,Cruzeiro,Serie A,EUR5.00m
Patrick Osterhage,Central Midfield,24,EUR7.00m,Germany,SC Freiburg,Bundesliga,EUR4.80m
Mika Biereth,Centre-Forward,21,EUR7.00m,Denmark,Sturm Graz,Bundesliga,EUR4.70m
Brian Aguirre,Left Winger,21,EUR7.00m,Argentina,Boca Juniors,Liga Profesional,EUR4.60m
Fabricio Bustos,Right-Back,28,EUR7.00m,Argentina,River Plate,Liga Profesional,EUR4.10m
Ayoze Perez,Left Winger,31,EUR7.00m,Spain,Villarreal,LaLiga,EUR4.00m
Matias Galarza,Defensive Midfield,22,EUR7.00m,Argentina,CA Talleres,Liga Profesional,EUR3.60m
Duje Caleta-Car,Centre-Back,27,EUR7.00m,Croatia,Olympique Lyon,Ligue 1,EUR3.59m
Diego Llorente,Centre-Back,30,EUR7.00m,Spain,Real Betis,LaLiga,EUR3.25m
Anthony Rouault,Centre-Back,23,EUR7.00m,France,VfB Stuttgart,Bundesliga,EUR3.00m
Matias Arezo,Centre-Forward,21,EUR7.00m,Uruguay,Gremio,Serie A,EUR3.00m
Ryan Flamingo,Centre-Back,21,EUR7.00m,Netherlands,FC Utrecht,Eredivisie,EUR2.75m
Vaclav Cerny,Right Winger,26,EUR7.00m,Czech Republic,Rangers,Premiership,Loan fee:EUR1.50m
Martin Satriano,Centre-Forward,23,EUR7.00m,Uruguay,Lens,Ligue 1,Loan fee:EUR1.00m
Felix Uduokhai,Centre-Back,26,EUR7.00m,Germany,Besiktas,Super Lig,Loan fee:EUR500k
Leander Dendoncker,Defensive Midfield,29,EUR7.00m,Belgium,RSC Anderlecht,Jupiler Pro League,loan transfer
Chrislain Matsima,Centre-Back,22,EUR7.00m,France,FC Augsburg,Bundesliga,loan transfer
Gaetano Castrovilli,Central Midfield,27,EUR7.00m,Italy,Lazio,Serie A,free transfer
Isaak Toure,Centre-Back,21,EUR7.00m,France,Udinese Calcio,Serie A,loan transfer
Kayky,Right Winger,21,EUR7.00m,Brazil,Sparta R.,Eredivisie,loan transfer
Jose Cifuentes,Central Midfield,25,EUR7.00m,Ecuador,Aris Saloniki,Super League 1,loan transfer
Michael,Left Winger,28,EUR7.00m,Brazil,Flamengo,Serie A,free transfer
Unai Nunez,Centre-Back,27,EUR7.00m,Spain,Athletic,LaLiga,loan transfer
M'Bala Nzola,Centre-Forward,27,EUR7.00m,Angola,Lens,Ligue 1,loan transfer
Matt Turner,Goalkeeper,30,EUR7.00m,United States,Crystal Palace,Premier League,loan transfer
Jeremy Sarmiento,Left Winger,22,EUR7.00m,Ecuador,Burnley,Championship,loan transfer
Stefano Turati,Goalkeeper,22,EUR7.00m,Italy,Monza,Serie A,loan transfer
Viktor Djukanovic,Left Winger,20,EUR7.00m,Montenegro,Standard Liege,Jupiler Pro League,loan transfer
Uriel Antuna,Right Winger,27,EUR6.50m,Mexico,Tigres UANL,Liga MX Apertura,EUR7.21m
Kristijan Jakic,Defensive Midfield,27,EUR6.50m,Croatia,FC Augsburg,Bundesliga,EUR5.00m
Remo Freuler,Central Midfield,32,EUR6.50m,Switzerland,Bologna,Serie A,EUR4.50m
Damian Pizarro,Centre-Forward,19,EUR6.50m,Chile,Udinese Calcio,Serie A,EUR3.50m
Tarik Tissoudali,Centre-Forward,31,EUR6.50m,Morocco,PAOK Salonika,Super League 1,EUR2.20m
Filip Kostic,Left Midfield,31,EUR6.50m,Serbia,Fenerbahce,Super Lig,loan transfer
Amir Hadziahmetovic,Defensive Midfield,27,EUR6.50m,Bosnia-Herzegovina,C. Rizespor,Super Lig,loan transfer
Mitchel Bakker,Left-Back,24,EUR6.50m,Netherlands,LOSC Lille,Ligue 1,loan transfer
Marcus Ingvartsen,Centre-Forward,28,EUR6.50m,Denmark,San Diego FC,N/A,?
Sekou Mara,Centre-Forward,22,EUR6.00m,France,R. Strasbourg,Ligue 1,EUR12.00m
Luiz Junior,Goalkeeper,23,EUR6.00m,Brazil,Villarreal,LaLiga,EUR12.00m
Bamo Meite,Centre-Back,22,EUR6.00m,Cote d'Ivoire,Marseille,Ligue 1,EUR10.50m
Glen Kamara,Central Midfield,28,EUR6.00m,Finland,Stade Rennais,Ligue 1,EUR10.00m
Matthis Abline,Centre-Forward,21,EUR6.00m,France,FC Nantes,Ligue 1,EUR10.00m
Amir Richardson,Central Midfield,22,EUR6.00m,Morocco,Fiorentina,Serie A,EUR9.00m
Walace,Defensive Midfield,29,EUR6.00m,Brazil,Cruzeiro,Serie A,EUR8.00m
Tim Kleindienst,Centre-Forward,28,EUR6.00m,Germany,Bor. M'gladbach,Bundesliga,EUR7.00m
Jorge Cuenca,Centre-Back,24,EUR6.00m,Spain,Fulham,Premier League,EUR6.70m
Gustaf Nilsson,Centre-Forward,27,EUR6.00m,Sweden,Club Brugge,Jupiler Pro League,EUR6.40m
Luis Romo,Defensive Midfield,29,EUR6.00m,Mexico,CD Cruz Azul,Liga MX Apertura,EUR6.50m
Cristo,Second Striker,26,EUR6.00m,Spain,Al-Sadd SC,Stars League,EUR6.00m
Ardon Jashari,Defensive Midfield,21,EUR6.00m,Switzerland,Club Brugge,Jupiler Pro League,EUR6.00m
Zaid Romero,Centre-Back,24,EUR6.00m,Argentina,Club Brugge,Jupiler Pro League,EUR6.00m
Francisco Moura,Left-Back,25,EUR6.00m,Portugal,FC Porto,Liga Portugal,EUR5.00m
Gabriel Strefezza,Right Winger,27,EUR6.00m,Brazil,Como,Serie A,EUR5.00m
Vladan Kovacevic,Goalkeeper,26,EUR6.00m,Bosnia-Herzegovina,Sporting CP,Liga Portugal,EUR4.80m
Aissa Laidouni,Central Midfield,27,EUR6.00m,Tunisia,Al-Wakrah SC,Stars League,EUR4.50m
Adam Bareiro,Centre-Forward,27,EUR6.00m,Paraguay,River Plate,Liga Profesional,EUR4.15m
Lucien Agoume,Defensive Midfield,22,EUR6.00m,France,Sevilla FC,LaLiga,EUR4.00m
Muhammed Cham,Attacking Midfield,23,EUR6.00m,Austria,Trabzonspor,Super Lig,EUR4.00m
Kristoffer Velde,Left Winger,24,EUR6.00m,Norway,Olympiacos,Super League 1,EUR4.00m
Adam Buksa,Centre-Forward,27,EUR6.00m,Poland,FC Midtjylland,Superliga,EUR4.00m
Thiago Maia,Defensive Midfield,27,EUR6.00m,Brazil,Internacional,Serie A,EUR4.00m
Gonzalo Plata,Right Winger,23,EUR6.00m,Ecuador,Flamengo,Serie A,EUR3.80m
Rade Krunic,Defensive Midfield,30,EUR6.00m,Bosnia-Herzegovina,Fenerbahce,Super Lig,EUR3.50m
Mark McKenzie,Centre-Back,25,EUR6.00m,United States,Toulouse,Ligue 1,EUR3.00m
Filip Marchwinski,Attacking Midfield,22,EUR6.00m,Poland,Lecce,Serie A,EUR3.00m
Keven Schlotterbeck,Centre-Back,27,EUR6.00m,Germany,FC Augsburg,Bundesliga,EUR2.50m
Wout Weghorst,Centre-Forward,32,EUR6.00m,Netherlands,Ajax,Eredivisie,EUR2.38m
Nicolas Fernandez,Centre-Forward,28,EUR6.00m,Argentina,Belgrano,Liga Profesional,EUR2.29m
Roko Simic,Centre-Forward,20,EUR6.00m,Croatia,Cardiff,Championship,EUR2.00m
Rodrigo Huescas,Right-Back,20,EUR6.00m,Mexico,FC Copenhagen,Superliga,EUR1.85m
Robert Navarro,Attacking Midfield,22,EUR6.00m,Spain,RCD Mallorca,LaLiga,EUR850k
Mahmoud Dahoud,Central Midfield,28,EUR6.00m,Syria,E. Frankfurt,Bundesliga,free transfer
Thomas Foket,Right-Back,29,EUR6.00m,Belgium,RSC Anderlecht,Jupiler Pro League,free transfer
Ibrahima Sissoko,Defensive Midfield,26,EUR6.00m,Mali,VfL Bochum,Bundesliga,free transfer
Derrick Kohn,Left-Back,25,EUR6.00m,Germany,Werder Bremen,Bundesliga,loan transfer
Rade Krunic,Defensive Midfield,30,EUR6.00m,Bosnia-Herzegovina,Red Star,Super liga Srbije,free transfer
Steve Mounie,Centre-Forward,29,EUR6.00m,Benin,FC Augsburg,Bundesliga,free transfer
Talles Magno,Left Winger,22,EUR6.00m,Brazil,Corinthians,Serie A,loan transfer
Gijs Smal,Left-Back,26,EUR6.00m,Netherlands,Feyenoord,Eredivisie,free transfer
Julian Carranza,Centre-Forward,24,EUR6.00m,Argentina,Feyenoord,Eredivisie,free transfer
Hugo Bueno,Left-Back,21,EUR6.00m,Spain,Feyenoord,Eredivisie,loan transfer
Nemanja Maksimovic,Central Midfield,29,EUR6.00m,Serbia,Panathinaikos,Super League 1,free transfer
Flavius Daniliuc,Centre-Back,23,EUR6.00m,Austria,Hellas Verona,Serie A,loan transfer
Chris Mepham,Centre-Back,26,EUR6.00m,Wales,Sunderland,Championship,loan transfer
Anton Miranchuk,Attacking Midfield,28,EUR6.00m,Russia,FC Sion,Super League,free transfer
Chidera Ejuke,Left Winger,26,EUR6.00m,Nigeria,Sevilla FC,LaLiga,free transfer
Nicolas Valentini,Centre-Back,23,EUR6.00m,Argentina,Fiorentina,Serie A,free transfer
Alex Telles,Left-Back,31,EUR6.00m,Brazil,Botafogo,Serie A,free transfer
